geoid,county,percent_hogan,percent_cox
24001,Allegany,81.69995750106247,66.09489225476611
24003,Anne Arundel,68.58546460389344,43.77091392363006
24005,Baltimore County,61.09672007795828,35.73834042120077
24009,Calvert,75.37419814682823,54.80392156862746
24011,Caroline,82.47718383311604,64.70757983839938
24013,Carroll,83.20342167326218,58.21742832812944
24015,Cecil,77.45785511892154,65.2169228559115
24017,Charles,49.34120571783717,30.24523160762943
24019,Dorchester,74.43195601196734,56.62750137690472
24021,Frederick,67.67457260373628,44.748669366648826
24023,Garrett,86.04651162790698,74.52710076391415
24025,Harford,77.10234312120747,53.739405793052065
24027,Howard,56.194946402293155,27.318932655654383
24029,Kent,73.26892109500805,45.12683578104139
24031,Montgomery,44.075822421577364,19.953160159622563
24033,Prince George's,28.19098076712071,8.836961823260763
24035,Queen Anne's,84.90270340864569,57.69749258560258
24037,Saint Mary's,76.00881319007775,56.68449197860963
24039,Somerset,67.55388210854323,61.82327317983821
24041,Talbot,77.41066520065971,46.80651807454579
24043,Washington,76.82170389013298,59.88748425213954
24045,Wicomico,67.57022723206299,52.58384914351518
24047,Worcester,76.09345400968218,59.51969515707386
24510,Baltimore City,31.598724355815932,8.856447310088432
